Requirement ID,Title,Spec Reference,Code Files,Status
FR-001,Plain Text Editing,src/asciidoc_artisan/ui/main_window.py:401,src/asciidoc_artisan/__init__.py; src/asciidoc_artisan/core/adaptive_debouncer.py; src/asciidoc_artisan/ui/main_window.py; src/asciidoc_artisan/workers/incremental_renderer.py; src/asciidoc_artisan/workers/preview_worker.py; src/performance_profiler.py,TRACED
FR-002,Live HTML Preview,src/asciidoc_artisan/workers/preview_worker.py,src/asciidoc_artisan/core/lazy_importer.py; src/asciidoc_artisan/workers/preview_worker.py; src/performance_profiler.py,TRACED
FR-003,Automatic Preview Updates,"src/asciidoc_artisan/ui/main_window.py:404,579-604",src/asciidoc_artisan/core/async_file_handler.py; src/asciidoc_artisan/workers/incremental_renderer.py; src/asciidoc_artisan/workers/preview_worker.py,TRACED
FR-004,Debounced Updates,src/asciidoc_artisan/ui/line_number_area.py,src/asciidoc_artisan/core/adaptive_debouncer.py; src/asciidoc_artisan/core/async_file_handler.py; src/asciidoc_artisan/core/constants.py; src/asciidoc_artisan/workers/incremental_renderer.py; src/asciidoc_artisan/workers/preview_worker.py; src/performance_profiler.py,TRACED
FR-005,Line Numbers,src/asciidoc_artisan/ui/line_number_area.py,src/asciidoc_artisan/core/async_file_handler.py; src/asciidoc_artisan/workers/__init__.py; src/asciidoc_artisan/workers/git_worker.py; src/asciidoc_artisan/workers/pandoc_worker.py; src/asciidoc_artisan/workers/preview_worker.py,TRACED
FR-006,Copy/Cut/Paste,src/asciidoc_artisan/ui/main_window.py,src/asciidoc_artisan/core/file_operations.py,TRACED
FR-007,Undo/Redo,src/asciidoc_artisan/ui/main_window.py,src/asciidoc_artisan/core/file_operations.py,TRACED
FR-008,Find Text,src/asciidoc_artisan/ui/main_window.py,src/asciidoc_artisan/workers/git_worker.py,TRACED
FR-009,Go To Line,src/asciidoc_artisan/ui/main_window.py,src/asciidoc_artisan/core/file_operations.py,TRACED
FR-010,Background Rendering,src/asciidoc_artisan/ui/main_window.py:401,src/asciidoc_artisan/workers/git_worker.py; src/asciidoc_artisan/workers/pandoc_worker.py; src/asciidoc_artisan/workers/preview_worker.py,TRACED
FR-011,New File,src/asciidoc_artisan/ui/file_handler.py,,TRACED
FR-012,Open File,src/asciidoc_artisan/ui/main_window.py:657-815,,TRACED
FR-013,Save File,src/asciidoc_artisan/ui/main_window.py:861-973,,TRACED
FR-014,Save As,src/asciidoc_artisan/ui/main_window.py:861-973,,TRACED
FR-015,Atomic File Writes,src/asciidoc_artisan/ui/main_window.py:861-973,src/asciidoc_artisan/__init__.py; src/asciidoc_artisan/core/file_operations.py,TRACED
FR-016,Path Sanitization,src/asciidoc_artisan/core/file_operations.py:27-62,src/asciidoc_artisan/__init__.py; src/asciidoc_artisan/core/file_operations.py; src/asciidoc_artisan/core/secure_credentials.py,TRACED
FR-017,Auto-Save,src/asciidoc_artisan/ui/file_handler.py,src/asciidoc_artisan/__init__.py,TRACED
FR-018,Unsaved Changes Warning,src/asciidoc_artisan/ui/main_window.py:1488-1506,,TRACED
